Category,Description,Case/Package,Pricing 1,Manufacturer,LibRef,Quantity,Stock 1
"LEDs","LED GREEN DIFFUSED 0603 SMD","SMD/SMT","1=0,42000, 10=0,27400, 100=0,18280, 500=0,12644, 1000=0,10536, 2000=0,09483 (USD)","Osram Opto","LTQ39E-Q1OO-25-1","1","4572"
"Logic Gates","LOGIC, 74AUC1G, AND GATE, SOT23-5","SOT-23","1=0,43000, 10=0,34900, 25=0,31920, 100=0,23740, 250=0,21520, 500=0,17808, 1000=0,13356 (USD)","Texas Instruments","SN74AUC1G08DBVR","4","21198"
"Microcontrollers","IC MCU 8BIT 32KB FLASH 28DIP","PDIP","","Microchip / Atmel","ATMEGA328P-PU","1",""
"Microcontrollers","MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32","A","","Microchip / Atmel","ATMEGA16U2-AU","1",""
"Pushbutton Switches","6X6, H5,  160G TAC.SWITCH","","1=0,11000, 10=0,11100, 25=0,10520, 100=0,09550, 250=0,08980, 500=0,08216, 1000=0,06879, 2500=0,06688, 5000=0,06306 (USD)","TE Connectivity Alcoswitch","1825910-6","2","138465"
"Schottky Diodes","DIODE SCHOTTKY 30V 500MA SOD123","","1=0,34400, 10=0,23900, 100=0,12200, 500=0,10000 (USD)","ON Semiconductor / Fairchild","MBR0530","2","10"
"Uncategorized","OSRAM - LO L29K-H2K1-24-Z - SMARTLED 0603 ORANGE 55AC2374","0603","","Osram Opto","LOL29K-H2K1-24-Z","3",""
"USB Connectors","CONN USB MICRO B RECPT SMT R/A","","1=0,45000, 10=0,39700, 25=0,36240, 50=0,34120, 100=0,32700, 250=0,29856, 500=0,28434 (USD)","Amphenol ICC / FCI","10118193-0001LF","1","217493"
"Varistors","ESD Suppressor TVS Bi-Dir 5V Automotive 2-Pin Case 0603(1608Metric) T/R","0603","1=0,58000, 10=0,45400, 25=0,38280, 100=0,31150, 250=0,25808, 500=0,21360, 1000=0,16020, 2500=0,14685 (USD)","Bourns","CGA0603MLC-05E","2","6992"
"Voltage Regulators - Linear","Single Output LDO, 1.5A, 3.3V Fast Trans","SOT-223","1=4,08000, 10=3,66600, 25=3,46560, 100=3,00340 (USD)","Texas Instruments","TL1963A-33DCQT","1","528"
